Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0012,Papilusion,Mâle,Indisponible,Indisponible,Indisponible,"Route 2, Coup d'Boule, Concours de capture d'insecte (Matin)",Concours de capture d'insecte (Matin),"Route 2, Route 24, Route 25, Coup d'Boule, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Forêt de Jade, Route 2, Concours de capture d'insecte, Coup d'Boule (Matin)",Concours de capture d'insecte,Indisponible,Route 12 (Herbes mouvantes),Indisponible,Trouée Cachée (Forêt d'Empoigne),"Safari des Amis Insecte, position 1 (1993-6860-1096)","Safari des Amis Insecte, position 1 (1993-6860-1096)",Indisponible,Indisponible,"Jardin de Mele-Mele, Route 5","Jardin de Mele-Mele, Route 5",Jardin de Mele-Mele,Jardin de Mele-Mele,Forêt de Jade,Faire évoluer Chrysacier (niveau 10),"Lac Coupenotte Est, Miroir du Géant, Plaine Verdoyante, Forêt de Sleepwood, Expédition Dynamax","Lac Coupenotte Est, Miroir du Géant, Plaine Verdoyante, Forêt de Sleepwood, Expédition Dynamax",Faire évoluer Chrysacier (Niveau 10),Échange,Incompatible,,,
0012,Papilusion,Femelle,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,"Forêt de Jade, Route 2, Concours de capture d'insecte, Coup d'Boule (Matin)",Concours de capture d'insecte,Indisponible,Route 12 (Herbes mouvantes),Indisponible,Trouée Cachée (Forêt d'Empoigne),"Safari des Amis Insecte, position 1 (1993-6860-1096)","Safari des Amis Insecte, position 1 (1993-6860-1096)",Indisponible,Indisponible,"Jardin de Mele-Mele, Route 5","Jardin de Mele-Mele, Route 5",Jardin de Mele-Mele,Jardin de Mele-Mele,Forêt de Jade,Faire évoluer Chrysacier (niveau 10),"Lac Coupenotte Est, Miroir du Géant, Plaine Verdoyante, Forêt de Sleepwood, Expédition Dynamax","Lac Coupenotte Est, Miroir du Géant, Plaine Verdoyante, Forêt de Sleepwood, Expédition Dynamax",Faire évoluer Chrysacier (Niveau 10),Échange,Incompatible,,,
0013,Aspicot,,"Route 2, Route 24, Route 25, Forêt de Jade","Route 25, Forêt de Jade",Indisponible,Concours de capture d'insecte (Matin et Jour),"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Coup d'Boule, Concours de capture d'insecte (Matin et Jour)","Route 30, Route 31, Bois aux Chênes, Parc Naturel, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 2, Route 24, Route 25, Forêt de Jade, Forbuissons","Route 2, Route 24, Route 25, Forêt de Jade, Forbuissons",Route 204,Route 204,"Route 204, Forêt Vestigion (Insertion Vert Feuille)",Concours de capture d'insecte,"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Forêt de Jade, Concours de capture d'insecte, Coup d'Boule (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,"Route 2, Forêt de Neuvartault",Forêt de Neuvartault,Indisponible,Indisponible,Échange,Échange,Faire reproduire Dardargnan,Faire reproduire Dardargnan,"Route 2, Forêt de Jade","Route 2, Forêt de Jade",Incompatible,Incompatible,Échange,"Grotte Spacieuse, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Incompatible,,,Zone Sauvage 1
0014,Coconfort,,"Route 24, Route 25, Forêt de Jade","Route 25, Forêt de Jade",Indisponible,Concours de capture d'insecte (Matin et Jour),"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Coup d'Boule, Concours de capture d'insecte (Matin et Jour)","Bois aux Chênes, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 24, Route 25, Forêt de Jade, Forbuissons","Route 24, Route 25, Forêt de Jade, Forbuissons",Forêt Vestigion (Insertion Vert Feuille),Forêt Vestigion (Insertion Vert Feuille),Forêt Vestigion (Insertion Vert Feuille),Concours de capture d'insecte (Matin et Jour),"Route 2, Route 30, Route 31, Bois aux Chênes, Parc Naturel, Forêt de Jade, Concours de capture d'insecte (Matin et Jour)",Route 12,Indisponible,Indisponible,Indisponible,Forêt de Neuvartault,"Safari des Amis Poison, position 1 (4485-5247-4664)",Parc Safari (Navi-Dex),Parc Safari (Navi-Dex),Échange,Échange,Faire reproduire Dardargnan,Faire reproduire Dardargnan,Forêt de Jade,Forêt de Jade,Incompatible,Incompatible,Échange,Faire évoluer Aspicot (Niveau 7),Incompatible,,,Zone Sauvage 2
0015,Dardargnan,,Indisponible,Indisponible,Indisponible,Concours de capture d'insecte (Matin),"Route 2, Coup d'Boule, Concours de capture d'insecte (Matin)","Coup d'Boule, Concours de capture d'insecte (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Concours de capture d'insecte,"Forêt de Jade, Route 2, Concours de capture d'insecte, Coup d'Boule (Matin)",Route 12 (Herbes mouvantes),Indisponible,Trouée Cachée (Forêt d'Empoigne),Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Jeudi, Route 4","Scanner des Îles : Jeudi, Route 4",Faire évoluer Coconfort (niveau 10),Forêt de Jade,Incompatible,Incompatible,Échange,Faire évoluer Coconfort (Niveau 10),Incompatible,,,Zone Sauvage 15
0016,Roucool,,"Route 1, Route 2, Route 3, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Chenal 21, Route 24, Route 25","Route 1, Route 2, Route 3, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Chenal 21, Route 24, Route 25","Route 1, Route 2, Route 5, Route 6, Route 7, Route 8, Route 11, Route 12, Route 13, Chenal 21, Route 24, Route 25, Forêt de Jade","Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, Parc Naturel (Matin et Jour)","Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, Parc Naturel (Matin et Jour)","Route 1, Route 2, Route 5, Route 25, Route 29, Route 30, Route 31, Route 32, Route 34, Route 35, Route 36, Route 37, Parc Naturel",Indisponible,Indisponible,Indisponible,"Route 1, Route 2, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Route 24, Route 25, Pont du Lien, Bois Baies, Pré de l'Île 5","Route 1, Route 2, Route 5, Route 6, Route 7, Route 8, Route 12, Route 13, Route 14, Route 15, Route 24, Route 25, Pont du Lien, Bois Baies, Pré de l'Île 5",Route 229 (Essaim),Route 229 (Essaim),Route 229 (Essaim),"Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, Parc Naturel, Forêt de Jade, Pokéwalker (Plaine Sereine) (Matin et Jour)","Route 1, Route 2, Route 5, Route 6, Route 25, Route 29, Route 30, Route 31, Route 35, Route 36, Route 37, Parc Naturel, Forêt de Jade, Pokéwalker (Plaine Sereine) (Matin et Jour)",Indisponible,Forêt Blanche (avec Nestor dans la forêt),Indisponible,Indisponible,"Route 2, Route 3","Route 2, Route 3",Indisponible,Indisponible,Échange,Échange,Faire reproduire Roucarnage,Faire reproduire Roucarnage,"Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25, Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 24, 25 et Forêt de Jade","Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25, Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 24, 25 et Forêt de Jade",Incompatible,Incompatible,Route 229 (troupeau),Route 229 (troupeau),Incompatible,,,Zone Sauvage 1
0017,Roucoups,,"Route 14, Route 15, Chenal 21","Route 14, Route 15, Chenal 21","Route 5, Route 6, Route 7, Route 8, Route 11, Route 12, Route 13, Route 14, Route 15, Chenal 21, Route 24 Route 25, Forêt de Jade","Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 43 (Matin et Jour)","Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 43 (Matin et Jour)","Route 2, Route 5, Route 8, Route 11, Route 13, Route 14, Route 15, Route 25, Route 37, Route 38, Route 39, Route 43 (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 13, Route 14, Route 15, Île 5","Route 13, Route 14, Route 15, Île 5",Indisponible,Indisponible,Indisponible,"Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 43, Forêt de Jade (Matin et Jour)","Route 2, Route 8, Route 13, Route 14, Route 15, Route 25, Route 37, Route 43, Forêt de Jade (Matin et Jour)",Indisponible,Faire évoluer Roucool au N.18,Indisponible,Indisponible,Indisponible,Indisponible,Parc Safari (Navi-Dex),Parc Safari (Navi-Dex),Échange,Échange,Faire reproduire Roucarnage,Faire reproduire Roucarnage,"Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18","Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18",Incompatible,Incompatible,Faire évoluer Roucool (Niveau 18),Faire évoluer Roucool (Niveau 18),Incompatible,,,Zone Sauvage 5
0018,Roucarnage,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Roucoups au N.36,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,"Scanner des Îles : Jeudi, Route 10","Scanner des Îles : Jeudi, Route 10","Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25.","Dans les airs*, au-dessus des Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24 et 25.",Incompatible,Incompatible,Faire évoluer Roucoups (Niveau 36),Faire évoluer Roucoups (Niveau 36),Incompatible,,,Bleu Sector 5
0019,Rattata,Mâle,"Route 1, Route 2, Route 4, Route 9, Route 16, Chenal 21, Route 22","Route 1, Route 2, Route 4, Route 9, Route 16, Chenal 21, Route 22","Route 1, Route 2, Route 3, Route 4, Route 5, Route 6, Route 7, Route 8, Route 9, Route 10, Route 11, Route 16, Route 18, Chenal 21, Route 22, Manoir Pokémon","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Route 38, Route 39, Route 46, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Ferraille, Tour Cendrée, Tour Chétiflor","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Route 46, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Ferraille, Tour Cendrée, Tour Chétiflor","Route 1, Route 3, Route 4, Route 6, Route 7, Route 9, Route 11, Chenal 21, Route 22, Route 29, Route 32, Route 33, Route 34, Route 38, Route 39, Route 42, Route 46, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Ferraille, Tour Cendrée, Tour Chétiflor",Indisponible,Indisponible,Indisponible,"Route 1, Route 2, Route 4, Route 9, Route 16, Route 17, Route 18, Route 22, Manoir Pokémon","Route 1, Route 2, Route 4, Route 9, Route 16, Route 17, Route 18, Route 22, Manoir Pokémon","Route 225, Chenal 226","Route 225, Chenal 226","Route 225, Chenal 226","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Carillon, Tour Cendrée, Tour Chétiflor, Pokéwalker*","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Carillon, Tour Cendrée, Tour Chétiflor, Pokéwalker*",Indisponible,Indisponible,"Volucité, Égouts de Volucité, Chemin Enfoui","Volucité, Égouts de Volucité, Chemin Enfoui",Indisponible,Indisponible,Route 117 (Navi-Dex),Route 117 (Navi-Dex),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22 et Manoir Pokémon","Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22 et Manoir Pokémon",Incompatible,Incompatible,"Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée","Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée",Incompatible,,,
0019,Rattata,Femelle,,,,,,,,,,,,"Route 225, Chenal 226","Route 225, Chenal 226","Route 225, Chenal 226","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Carillon, Tour Cendrée, Tour Chétiflor, Pokéwalker*","Route 1, Route 3, Route 4, Route 7, Route 9, Route 11, Route 22, Route 29, Route 30, Route 31, Route 32, Route 33, Route 34, Caves Jumelles, Chutes Tohjo, Mont Creuset, Tour Carillon, Tour Cendrée, Tour Chétiflor, Pokéwalker*",Indisponible,Indisponible,"Volucité, Égouts de Volucité, Chemin Enfoui","Volucité, Égouts de Volucité, Chemin Enfoui",Indisponible,Indisponible,Route 117 (Navi-Dex),Route 117 (Navi-Dex),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22 et Manoir Pokémon","Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22 et Manoir Pokémon",Incompatible,Incompatible,"Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée","Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée",Incompatible,,,
0019,Rattata,Alola,,,,,,,,,,,,,,,,,,,,,,,,,"La nuit : Routes 1, 2 3, 4, 6 et 8, Baie de Kala'e, Ekaeka","La nuit : Routes 1, 2 3, 4, 6 et 8, Baie de Kala'e, Ekaeka","La nuit : Routes 1, 2 3, 4, 6 et 8, Baie de Kala'e","La nuit : Routes 1, 2 3, 4, 6 et 8, Baie de Kala'e",Échange à Azuria,Échange à Azuria,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,,,
